Politischer Bezirk/Gebiet;Latitude;Longitude
Steyr (Stadt);48.037222;14.416944
Wels (Stadt);48.1575;14.026667
Braunau am Inn;48.2575;13.033889
Eferding;48.316667;14.033333
Freistadt;48.511667;14.506111
Gmunden;47.918056;13.799444
Grieskirchen;48.235;13.831944
Kirchdorf an der Krems;47.905;14.121944
Linz-Land;48.160139;14.339722
Perg;48.250278;14.633611
Ried im Innkreis;48.21;13.489444 
Rohrbach;48.573333;13.991667
Sch�rding;48.456944;13.431667
Steyr-Land;47.887778;14.550278
Urfahr-Umgebung;48.459444;14.290833
V�cklabruck;48.008611;13.655833
Wels-Land;48.078611;13.958333 
Burgenland;47.845556;16.518889
K�rnten;46.617778;14.305556
Nieder�sterreich;48.204722;15.62666 
Salzburg;47.8;13.033333
Steiermark;47.066667;15.433333
Tirol;47.267222;11.392778
Vorarlberg;47.505;9.749167
Wien;48.209722;16.37
